event_id,source_event_id,year,region,event_start,event_peak,event_end,flood_mechanism,source,observation_family,label_kind,source_confidence,gfm_available,secondary_label_available,rainfall_available,dem_available,river_data_available,event_eligible,cube_eligible,quality,accepted,rejection_reason,matched_gfm_event_id,independent_from_gfm,spatial_resolution_m,license,provenance
evt:2015-07-11,evt:2015-07-11,2015,"dhaka_ne,dhaka_nw,kishoreganj,netrokona,sunamganj,sylhet",2015-07-11,2015-07-16,2015-08-09,haor_monsoon_inundation,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,False,True,True,True,True,ok,True,,evt:2015-07-11,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2016-01-19,evt:2016-01-19,2016,"dhaka_se,kishoreganj,netrokona,sunamganj,sylhet",2016-01-19,2016-01-19,2016-02-02,winter_or_early,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,False,True,True,True,True,weak_residual_water,True,,evt:2016-01-19,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2016-06-30,evt:2016-06-30,2016,dhaka_sw,2016-06-30,2016-08-17,2016-08-17,monsoon_riverine,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,high_unknown,True,,evt:2016-06-30,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2017-04-12,evt:2017-04-12,2017,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2017-04-12,2017-05-06,2017-05-20,haor_premonsoon_flash,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2017-04-12,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2017-07-31,evt:2017-07-31,2017,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2017-07-31,2017-08-22,2017-08-24,haor_monsoon_inundation,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2017-07-31,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2018-01-13,evt:2018-01-13,2018,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2018-01-13,2018-01-13,2018-01-25,winter_or_early,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2018-01-13,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2018-06-06,evt:2018-06-06,2018,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2018-06-06,2018-06-18,2018-06-18,haor_monsoon_inundation,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2018-06-06,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2019-01-10,evt:2019-01-10,2019,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2019-01-10,2019-01-10,2019-02-03,winter_or_early,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,weak_residual_water,True,,evt:2019-01-10,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2019-06-15,evt:2019-06-15,2019,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2019-06-15,2019-07-21,2019-08-02,haor_monsoon_inundation,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,ok,True,,evt:2019-06-15,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
evt:2020-01-15,evt:2020-01-15,2020,"dhaka_ne,dhaka_nw,dhaka_se,dhaka_sw,kishoreganj,netrokona,sunamganj",2020-01-15,2020-01-15,2020-01-29,winter_or_early,copernicus-gfm-ensemble-flood-extent,A,OBSERVED,high,True,False,True,True,True,True,True,weak_residual_water,True,,evt:2020-01-15,False,20,STAC proprietary; Copernicus attribution,phase6.5-gfm-spatial-v2.1;retrieved=2026-09-02T19:44:37Z
