pair_id,event_id,city_id,year,t0,t1,delta_t_hours,delta_t_days,delta_t_bucket,forecast_forcing_available,forecast_coverage_fraction,forecast_status,obs_in_horizon_coverage,obs_in_horizon_availability,hydrological_state_availability,label_valid_fraction,unknown_fraction,new_flood_fraction
evt:2015-07-11|dhaka_ne|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,dhaka_ne,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,False,0.0,UNAVAILABLE,0.0,POST-T0 OBSERVATION,POST_T0,0.740966796875,0.259033203125,0.003624382207578254
evt:2015-07-11|dhaka_nw|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,dhaka_nw,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,False,0.0,UNAVAILABLE,0.0,POST-T0 OBSERVATION,POST_T0,0.94775390625,0.05224609375,0.0020607934054611026
evt:2015-07-11|kishoreganj|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,evt:2015-07-11,kishoreganj,2015,2015-07-11T11:56:14Z,2015-07-16T12:04:17Z,120.13416666666667,5.005590277777778,4-7 days,False,0.0,UNAVAILABLE,0.0,POST-T0 OBSERVATION,CAUSAL_BUT_STALE,0.267333984375,0.732666015625,0.04200913242009133
evt:2015-07-11|kishoreganj|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,kishoreganj,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,False,0.0,UNAVAILABLE,0.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.009765625
evt:2015-07-11|netrokona|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,evt:2015-07-11,netrokona,2015,2015-07-11T11:56:14Z,2015-07-16T12:04:17Z,120.13416666666667,5.005590277777778,4-7 days,False,0.0,UNAVAILABLE,0.0,POST-T0 OBSERVATION,CAUSAL_BUT_STALE,0.42919921875,0.57080078125,0.0011376564277588168
evt:2015-07-11|netrokona|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,netrokona,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,False,0.0,UNAVAILABLE,0.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.003173828125
evt:2015-07-11|sunamganj|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,evt:2015-07-11,sunamganj,2015,2015-07-11T11:56:14Z,2015-07-16T12:04:17Z,120.13416666666667,5.005590277777778,4-7 days,False,0.0,UNAVAILABLE,0.0,POST-T0 OBSERVATION,CAUSAL_BUT_STALE,0.68115234375,0.31884765625,0.0007168458781362007
evt:2015-07-11|sunamganj|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,sunamganj,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,False,0.0,UNAVAILABLE,0.0,POST-T0 OBSERVATION,POST_T0,0.68115234375,0.31884765625,0.0032258064516129032
evt:2016-06-30|dhaka_sw|ENSEMBLE_FLOOD_20160630T235553_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20160724T235554_VV_AS020M_E039N021T3,evt:2016-06-30,dhaka_sw,2016,2016-06-30T23:55:53Z,2016-07-24T23:55:54Z,576.0002777777778,24.000011574074076,21+ days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.11328125,0.88671875,0.004310344827586207
evt:2016-06-30|dhaka_sw|ENSEMBLE_FLOOD_20160724T235554_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20160817T235556_VV_AS020M_E039N021T3,evt:2016-06-30,dhaka_sw,2016,2016-07-24T23:55:54Z,2016-08-17T23:55:56Z,576.0005555555556,24.00002314814815,21+ days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.11328125,0.88671875,0.00646551724137931
evt:2017-04-12|dhaka_ne|ENSEMBLE_FLOOD_20170412T120427_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_ne,2017,2017-04-12T12:04:27Z,2017-04-24T12:04:28Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.1142578125,0.8857421875,0.0
evt:2017-04-12|dhaka_ne|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_ne,2017,2017-04-24T12:04:28Z,2017-05-06T12:04:28Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.113525390625,0.886474609375,0.03870967741935484
evt:2017-04-12|dhaka_ne|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170518T120429_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_ne,2017,2017-05-06T12:04:28Z,2017-05-18T12:04:29Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.113525390625,0.886474609375,0.012903225806451613
evt:2017-04-12|dhaka_nw|ENSEMBLE_FLOOD_20170412T120427_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_nw,2017,2017-04-12T12:04:27Z,2017-04-24T12:04:28Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.327880859375,0.672119140625,0.0
