pair_id,t0,glofas_state_time,lag_hours,source,status,staleness,proxy_city,q_m3s,walkback_days,processing_version,source_version
evt:2015-07-11|dhaka_ne|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,2015-07-16T12:04:17Z,2015-07-16T00:00:00Z,12.071388888888889,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,76.45,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2015-07-11|dhaka_nw|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,2015-07-16T12:04:17Z,2015-07-16T00:00:00Z,12.071388888888889,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,76.45,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2015-07-11|kishoreganj|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,2015-07-11T11:56:14Z,2015-07-11T00:00:00Z,11.937222222222223,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,42.15,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2015-07-11|kishoreganj|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,2015-07-16T12:04:17Z,2015-07-16T00:00:00Z,12.071388888888889,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,88.74,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2015-07-11|netrokona|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,2015-07-11T11:56:14Z,2015-07-11T00:00:00Z,11.937222222222223,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,42.15,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2015-07-11|netrokona|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,2015-07-16T12:04:17Z,2015-07-16T00:00:00Z,12.071388888888889,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,88.74,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2015-07-11|sunamganj|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,2015-07-11T11:56:14Z,2015-07-11T00:00:00Z,11.937222222222223,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,42.15,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2015-07-11|sunamganj|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,2015-07-16T12:04:17Z,2015-07-16T00:00:00Z,12.071388888888889,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,88.74,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2016-06-30|dhaka_sw|ENSEMBLE_FLOOD_20160630T235553_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20160724T235554_VV_AS020M_E039N021T3,2016-06-30T23:55:53Z,2016-06-30T00:00:00Z,23.93138888888889,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,32.42,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2016-06-30|dhaka_sw|ENSEMBLE_FLOOD_20160724T235554_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20160817T235556_VV_AS020M_E039N021T3,2016-07-24T23:55:54Z,2016-07-24T00:00:00Z,23.93166666666667,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,46.53,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_ne|ENSEMBLE_FLOOD_20170412T120427_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3,2017-04-12T12:04:27Z,2017-04-12T00:00:00Z,12.074166666666667,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,14.78,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_ne|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3,2017-04-24T12:04:28Z,2017-04-24T00:00:00Z,12.074444444444444,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,67.23,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_ne|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170518T120429_VV_AS020M_E039N021T3,2017-05-06T12:04:28Z,2017-05-06T00:00:00Z,12.074444444444444,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,33.36,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_nw|ENSEMBLE_FLOOD_20170412T120427_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3,2017-04-12T12:04:27Z,2017-04-12T00:00:00Z,12.074166666666667,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,14.78,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_nw|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3,2017-04-24T12:04:28Z,2017-04-24T00:00:00Z,12.074444444444444,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,67.23,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_nw|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170518T120429_VV_AS020M_E039N021T3,2017-05-06T12:04:28Z,2017-05-06T00:00:00Z,12.074444444444444,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,33.36,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_se|ENSEMBLE_FLOOD_20170414T235551_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170426T235551_VV_AS020M_E039N021T3,2017-04-14T23:55:51Z,2017-04-14T00:00:00Z,23.930833333333332,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,14.1,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_se|ENSEMBLE_FLOOD_20170426T235551_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170508T235552_VV_AS020M_E039N021T3,2017-04-26T23:55:51Z,2017-04-26T00:00:00Z,23.930833333333332,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,44.6,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_se|ENSEMBLE_FLOOD_20170508T235552_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170520T235553_VV_AS020M_E039N021T3,2017-05-08T23:55:52Z,2017-05-08T00:00:00Z,23.93111111111111,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,39.93,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_sw|ENSEMBLE_FLOOD_20170414T235551_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170426T235551_VV_AS020M_E039N021T3,2017-04-14T23:55:51Z,2017-04-14T00:00:00Z,23.930833333333332,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,14.1,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2017-04-12|dhaka_sw|ENSEMBLE_FLOOD_20170426T235551_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170508T235552_VV_AS020M_E039N021T3,2017-04-26T23:55:51Z,2017-04-26T00:00:00Z,23.930833333333332,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,44.6,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
