pair_id,event_id,city_id,region,split,year,t0,t1,delta_t_hours,delta_t_days,delta_t_bucket,eligibility,forcing_status,forecast_status,forecast_source,forecast_coverage_fraction,forecast_lead_min,forecast_lead_max,source_resolution,regridding_method,hydrology_status,label_valid_fraction,unknown_fraction
evt:2015-07-11|dhaka_ne|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,dhaka_ne,dhaka_ne,train,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,STATE_ONLY,STATE_ONLY,UNAVAILABLE,,0.0,,,,none (no NWP field),MODELLED_STATE,0.740966796875,0.259033203125
evt:2015-07-11|dhaka_nw|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,dhaka_nw,dhaka_nw,train,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,STATE_ONLY,STATE_ONLY,UNAVAILABLE,,0.0,,,,none (no NWP field),MODELLED_STATE,0.94775390625,0.05224609375
evt:2015-07-11|kishoreganj|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,evt:2015-07-11,kishoreganj,kishoreganj,train,2015,2015-07-11T11:56:14Z,2015-07-16T12:04:17Z,120.13416666666667,5.005590277777778,4-7 days,STATE_ONLY,STATE_ONLY,UNAVAILABLE,,0.0,,,,none (no NWP field),MODELLED_STATE,0.267333984375,0.732666015625
evt:2015-07-11|kishoreganj|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,kishoreganj,kishoreganj,train,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,STATE_ONLY,STATE_ONLY,UNAVAILABLE,,0.0,,,,none (no NWP field),MODELLED_STATE,1.0,0.0
evt:2015-07-11|netrokona|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,evt:2015-07-11,netrokona,netrokona,train,2015,2015-07-11T11:56:14Z,2015-07-16T12:04:17Z,120.13416666666667,5.005590277777778,4-7 days,STATE_ONLY,STATE_ONLY,UNAVAILABLE,,0.0,,,,none (no NWP field),MODELLED_STATE,0.42919921875,0.57080078125
evt:2015-07-11|netrokona|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,netrokona,netrokona,train,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,STATE_ONLY,STATE_ONLY,UNAVAILABLE,,0.0,,,,none (no NWP field),MODELLED_STATE,1.0,0.0
evt:2015-07-11|sunamganj|ENSEMBLE_FLOOD_20150711T115614_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3,evt:2015-07-11,sunamganj,sunamganj,train,2015,2015-07-11T11:56:14Z,2015-07-16T12:04:17Z,120.13416666666667,5.005590277777778,4-7 days,STATE_ONLY,STATE_ONLY,UNAVAILABLE,,0.0,,,,none (no NWP field),MODELLED_STATE,0.68115234375,0.31884765625
evt:2015-07-11|sunamganj|ENSEMBLE_FLOOD_20150716T120417_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20150809T120418_VV_AS020M_E039N021T3,evt:2015-07-11,sunamganj,sunamganj,train,2015,2015-07-16T12:04:17Z,2015-08-09T12:04:18Z,576.0002777777778,24.000011574074076,21+ days,STATE_ONLY,STATE_ONLY,UNAVAILABLE,,0.0,,,,none (no NWP field),MODELLED_STATE,0.68115234375,0.31884765625
evt:2016-06-30|dhaka_sw|ENSEMBLE_FLOOD_20160630T235553_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20160724T235554_VV_AS020M_E039N021T3,evt:2016-06-30,dhaka_sw,dhaka_sw,train,2016,2016-06-30T23:55:53Z,2016-07-24T23:55:54Z,576.0002777777778,24.000011574074076,21+ days,PARTIAL_CAUSAL,PARTIAL_CAUSAL,FORECAST_VINTAGE,weatherbench2-hres-ifs,0.3968804159445407,12.0,240.0,1.5° (240×121 equiangular with poles),nearest-neighbor point sample at proxy lat/lon; no 20 m downscale,MODELLED_STATE,0.11328125,0.88671875
evt:2016-06-30|dhaka_sw|ENSEMBLE_FLOOD_20160724T235554_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20160817T235556_VV_AS020M_E039N021T3,evt:2016-06-30,dhaka_sw,dhaka_sw,train,2016,2016-07-24T23:55:54Z,2016-08-17T23:55:56Z,576.0005555555556,24.00002314814815,21+ days,PARTIAL_CAUSAL,PARTIAL_CAUSAL,FORECAST_VINTAGE,weatherbench2-hres-ifs,0.3968804159445407,12.0,240.0,1.5° (240×121 equiangular with poles),nearest-neighbor point sample at proxy lat/lon; no 20 m downscale,MODELLED_STATE,0.11328125,0.88671875
